Users,Game,Command,,,,,,,
Joe,burke 1,wrote first comments,4,,,,,,
Joe,burke 1,got new comment,yes,meaning,Joe_p4m71,4,,,
Joe,burke 1,got new comment,yes,structure,Joe_p4m70,4,,,
Joe,burke 1,got new comment,yes,language,Joe_p4m69,4,,,
Joe,burke 1,wrote first comments,2,,,,,,
Joe,burke 1,got new comment,yes very well. I think this is easier to follow as well,meaning,Joe_p2m65,2,,,
Joe,burke 1,got new comment,yes,structure,Joe_p2m64,2,,,
Joe,burke 1,got new comment,yes ,,,,,,
Joe,burke 1,wrote first comments,3,,,,,,
Joe,burke 1,got new comment,for the most part yes, but I feel as though Burke is referring to words actually composing who we are, not disconnecting us from the material world,meaning,Joe_p3m45,3,
Joe,burke 1,got new comment,yes,structure,Joe_p3m44,3,,,
Joe,burke 1,got new comment,yes very different,language,Joe_p3m43,3,,,
Kelly,Burke1,wrote first comments,1,,,,,,
Kelly,Burke1,got new comment,yes,meaning,Kelly_p1m169,1,,,
Kelly,Burke1,got new comment,yes,structure,Kelly_p1m168,1,,,
Kelly,Burke1,got new comment,yes,language,Kelly_p1m167,1,,,
Joe,burke1,wrote first comments,8,,,,,,
Joe,burke1,got new comment,n/a,meaning,Joe_p8m166,8,,,
Joe,burke1,got new comment,n/a,structure,Joe_p8m165,8,,,
Joe,burke1,got new comment,n/a,language,Joe_p8m164,8,,,
suzanne,burke1,moved message,t_suzanne_p4m154,[object Object],,,,,
suzanne,burke1,got new comment,"I wonder whether the ""entities that are unable"" to express themselves are exactly the same as ""the nonverbal""",meaning,suzanne_p4m154,4,,,
jonlu,burke1,wrote first comments,3,,,,,,
jonlu,burke1,got new comment,"I think ""material world"" limits Burke's original meaning",meaning,jonlu_p3m135,3,,,
jonlu,burke1,got new comment,for the most part, yes,structure,jonlu_p3m134,3,,
jonlu,burke1,got new comment,yes,language,jonlu_p3m133,3,,,
suzanne,burke1,wrote first comments,4,,,,,,
suzanne,burke1,got new comment,This paraphrase leaves out a lot of the meaning of the original--for instance, other kinds of symbol systems," or the idea of what the ""nonverbal"" is.  ",meaning,suzanne_p4m132,4,
suzanne,burke1,got new comment,This version has a different structure, but it's also much shorter than the original.,structure,suzanne_p4m131,4,,
suzanne,burke1,got new comment,Yes, most of the language is new.,language,suzanne_p4m130,4,,
Chelsea,burke1,wrote first comments,3,,,,,,
Chelsea,burke1,got new comment,yes, definitely,meaning,Chelsea_p3m129,3,,
Chelsea,burke1,got new comment,yes!,structure,Chelsea_p3m128,3,,,
Chelsea,burke1,got new comment,yes,language,Chelsea_p3m127,3,,,
Joe,burke1,wrote first comments,4,,,,,,
Joe,burke1,got new comment,I don't think so,meaning,Joe_p4m123,4,,,
Joe,burke1,got new comment,yes,structure,Joe_p4m122,4,,,
Joe,burke1,got new comment,yes,language,Joe_p4m121,4,,,
Edner ,burke1,wrote first comments,5,,,,,,
Edner ,burke1,got new comment,Yes!,meaning,Edner _p5m111,5,,,
Edner ,burke1,got new comment,Yes,structure,Edner _p5m110,5,,,
Edner ,burke1,got new comment,yes!,language,Edner _p5m109,5,,,
Edner ,burke1,wrote first comments,4,,,,,,
Edner ,burke1,got new comment,n/a,meaning,Edner _p4m92,4,,,
Edner ,burke1,got new comment,n/a,structure,Edner _p4m91,4,,,
Edner ,burke1,got new comment,n/a,language,Edner _p4m90,4,,,
Chelsea,burke1,wrote first comments,2,,,,,,
Chelsea,burke1,got new comment,"mostly -- how can we develop a ""clear"" relationship between us and the world if words convolute the relationship?",meaning,Chelsea_p2m80,2,,,
Chelsea,burke1,got new comment,"yes; but the use of ""entanglement"" is reminiscent of Burke's wording", which is fine, but it's a bit unclear what you mean by it,structure,Chelsea_p2m79,2,
Chelsea,burke1,got new comment,yes,language,Chelsea_p2m78,2,,,
jonlu,burke1,wrote first comments,2,,,,,,
jonlu,burke1,got new comment,"I think it limits Burke's original definition because of the word ""world""",meaning,jonlu_p2m74,2,,,
jonlu,burke1,got new comment,yes,structure,jonlu_p2m73,2,,,
jonlu,burke1,got new comment,for the most part, yes,language,jonlu_p2m72,2,,
Edner ,burke1,wrote first comments,3,,,,,,
Edner ,burke1,got new comment,partially,meaning,Edner _p3m53,3,,,
Edner ,burke1,got new comment,nope,structure,Edner _p3m52,3,,,
Edner ,burke1,got new comment,"it is original but not sufficient... I think Burke's primary focus is ""word""",language,Edner _p3m51,3,,,
jonlu,burke1,wrote first comments,1,,,,,,
jonlu,burke1,got new comment,yes,meaning,jonlu_p1m33,1,,,
jonlu,burke1,got new comment,yes,structure,jonlu_p1m32,1,,,
jonlu,burke1,got new comment,yes,language,jonlu_p1m31,1,,,
Chelsea,burke1,wrote first comments,1,,,,,,
Chelsea,burke1,got new comment,yes -- really good job with the idea of the unite/divide.   I think it's clearer than the original,meaning,Chelsea_p1m30,1,,,
Chelsea,burke1,got new comment,yes -- some of the words are the same, but they are used in different forms,structure,Chelsea_p1m29,1,,
Chelsea,burke1,got new comment,yes,language,Chelsea_p1m28,1,,,
Juan,burke2,moved message,t_Juan_p1m60,[object Object],,,,,
Juan,burke2,liked message,Juan_f162,,,,,,
Juan,burke2,added followup,Juan_f163,Juan_p1m60,(-juan),0,,,
Juan,burke2,added followup,Juan_f162,Juan_p1m60,i don't like your comment,0,,,
Juan,burke2,moved message,t_Juan_p1m60,[object Object],,,,,
Juan,burke2,moved message,t_Kelly_p1m27,[object Object],,,,,
Kelly,burke2,wrote first comments,4,,,,,,
Kelly,burke2,got new comment,yes,meaning,Kelly_p4m161,4,,,
Kelly,burke2,got new comment,yes,structure,Kelly_p4m160,4,,,
Kelly,burke2,got new comment,yes,language,Kelly_p4m159,4,,,
Juan,burke2,moved message,t_Juan_p1m62,[object Object],,,,,
Juan,burke2,moved message,t_Kelly_p2m55,[object Object],,,,,
Juan,burke2,moved message,t_Kelly_p2m56,[object Object],,,,,
Juan,burke2,moved message,t_Kelly_p2m55,[object Object],,,,,
Matthew,burke2,liked message,Matthew_p6m151,,,,,,
Matthew,burke2,wrote first comments,5,,,,,,
Matthew,burke2,got new comment,Yes.,meaning,Matthew_p6m153,6,,,
